"Warming","Year","Resolution","Method","Min","Max","Mean","Sum"
"1.5°C",2078,"50km","Original",-6.91,29.27,14.49,261
"1.5°C",2078,"25km","Bilinear",0.22,29.27,14.49,1043
"1.5°C",2078,"25km","NearestNeighbor",-6.91,29.27,14.49,1043
"1.5°C",2078,"12.5km","Bilinear",0.65,29.27,14.49,4172
"1.5°C",2078,"12.5km","NearestNeighbor",-6.91,29.27,14.49,4172
"2.0°C",2089,"50km","Original",-7.43,29.41,14.63,263
"2.0°C",2089,"25km","Bilinear",-0.06,29.41,14.63,1053
"2.0°C",2089,"25km","NearestNeighbor",-7.43,29.41,14.63,1053
"2.0°C",2089,"12.5km","Bilinear",0.36,29.41,14.63,4212
"2.0°C",2089,"12.5km","NearestNeighbor",-7.43,29.41,14.63,4212
